ROI_FAMILY_ID,imputer,y_pred,status
79476974,mice,1,alive
79540779,mice,1,alive
79733218,mice,1,alive
79836425,mice,1,alive
79987970,mice,1,alive
80132970,mice,1,alive
80427172,mice,1,alive
80637978,mice,1,alive
80693179,mice,1,alive
81251944,mice,1,alive
81279374,mice,1,alive
81889172,mice,1,alive
82346974,mice,1,alive
82353574,mice,1,alive
82399171,mice,1,alive
83549576,mice,1,alive
83772186,mice,1,alive
83783977,mice,1,alive
84036797,mice,1,alive
84075902,mice,1,alive
84153170,mice,1,alive
84199579,mice,1,alive
84284371,mice,1,alive
84305697,mice,1,alive
84308378,mice,1,alive
84729995,mice,1,alive
84734979,mice,1,alive
84757574,mice,1,alive
85196798,mice,1,alive
85669976,mice,1,alive
86114576,mice,1,alive
86226370,mice,1,alive
86355567,mice,1,alive
86543576,mice,1,alive
86559788,mice,1,alive
86743978,mice,1,alive
86808177,mice,1,alive
87357778,mice,1,alive
87358370,mice,1,alive
87361572,mice,1,alive
87513776,mice,1,alive
87550372,mice,1,alive
87606380,mice,1,alive
87767208,mice,1,alive
87798575,mice,1,alive
87798773,mice,1,alive
87813374,mice,1,alive
88230974,mice,1,alive
88576764,mice,1,alive
88776208,mice,1,alive
88879176,mice,1,alive
88941174,mice,1,alive
89406789,mice,1,alive
89533376,mice,1,alive
89546865,mice,1,alive
85669976,mean,1,alive
86114576,mean,1,alive
86226370,mean,1,alive
86355567,mean,1,alive
86543576,mean,1,alive
86559788,mean,1,alive
86743978,mean,1,alive
86808177,mean,1,alive
87357778,mean,1,alive
87358370,mean,1,alive
87361572,mean,1,alive
87513776,mean,1,alive
87550372,mean,1,alive
87606380,mean,1,alive
87767208,mean,1,alive
37620051,mice,1,alive
37714136,mice,1,alive
37725009,mice,1,alive
37753118,mice,1,alive
37826997,mice,1,alive
37834223,mice,1,alive
37837143,mice,1,alive
37896123,mice,1,alive
37911195,mice,1,alive
37968674,mice,1,alive
38008900,mice,1,alive
87798575,mean,1,alive
87798773,mean,1,alive
87813374,mean,1,alive
88230974,mean,1,alive
38163119,mice,1,alive
88576764,mean,1,alive
88776208,mean,1,alive
88879176,mean,1,alive
88941174,mean,1,alive
89406789,mean,1,alive
89533376,mean,1,alive
89546865,mean,1,alive
89805972,mean,1,alive
89813372,mean,1,alive
90010794,mean,1,alive
90039876,mean,1,alive
90235227,mean,1,alive
90275892,mean,1,alive
90318866,mean,1,alive
90363839,mean,1,alive
90368465,mean,1,alive
90603184,mean,1,alive
90704537,mean,1,alive
90882192,mean,1,alive
90936378,mean,1,alive
90971037,mean,1,alive
91085373,mean,1,alive
100649467,median,1,alive
100656515,median,1,alive
100660690,median,1,alive
100660979,median,1,alive
100661112,median,1,alive
100661571,median,1,alive
100662688,median,1,alive
100664585,median,1,alive
38208542,mice,1,alive
38222618,mice,1,alive
100669018,median,1,alive
1797604,mice,1,alive
1799436,mice,1,alive
1803816,mice,1,alive
100676990,median,1,alive
38304986,mice,1,alive
38321253,mice,1,alive
100695015,median,1,alive
100716488,median,1,alive
1862036,mice,1,alive
1863794,mice,1,alive
1879949,mice,1,alive
38349825,mice,1,alive
38353785,mice,1,alive
38355731,mice,1,alive
38357943,mice,1,alive
38379467,mice,1,alive
38445581,mice,1,alive
1925429,mice,1,alive
38448429,mice,1,alive
38448494,mice,1,alive
100733455,median,1,alive
1956168,mice,1,alive
100744355,median,1,alive
100763742,median,1,alive
100763988,median,1,alive
100769507,median,1,alive
100773390,median,1,alive
100774320,median,1,alive
100776775,median,1,alive
100781423,median,1,alive
